time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
248400.0,282.47,295.70532,294.7153,296.9375,295.12323,295.16287,887.8652666364396,0.0406813483992467,-887.9059479848389
250200.0,282.34995,295.67474,294.69128,296.91025,295.02234,295.12817,887.7834184919084,0.0406818702120872,-887.8241003621205
252000.0,282.23,295.641,294.63544,296.8618,294.94553,295.08817,887.6453569684709,0.04068239430245988,-887.6860393627734
253800.0,281.96652,295.6029,294.6385,296.78906,294.88614,295.0479,887.5375994001115,0.04068292204858862,-887.5782823221601
255600.0,281.75,295.55856,294.6086,296.68475,294.84625,295.00662,887.3590715680803,0.04068345103981866,-887.3997550191201
257400.0,281.72705,295.51517,294.57593,296.60352,294.7881,294.96866,887.2017534528459,0.04068398027319293,-887.2424374331191
259200.0,281.71,295.479,294.54785,296.52908,294.73462,294.936,888.2059387207032,0.04068450970372493,-888.246623230407
261000.0,281.69568,295.452,294.52643,296.4654,294.69962,294.90915,888.093817138672,0.0406850393095294,-888.1345021779815
262800.0,281.68,295.43033,294.50906,296.4076,294.67227,294.88596,887.9969848632813,0.04068556981848592,-888.0376704330998
264600.0,281.52258,295.40134,294.4866,296.33594,294.6044,294.85852,887.8738769531251,0.04068610279784524,-887.9145630559229
266400.0,281.37,295.36386,294.456,296.25467,294.5185,294.82263,887.7245239257813,0.040686636594516545,-887.7652105623758
268200.0,281.36,295.34335,294.4355,296.2482,294.47787,294.7902,887.6770385742188,0.040687170511611005,-887.7177257447305
270000.0,281.35,295.33145,294.42328,296.2181,294.47067,294.7642,887.6228393554688,0.04068770454901123,-887.6635270600178
271800.0,281.34,295.3158,294.41223,296.07758,294.5372,294.7515,887.4556030273438,0.040688238706599635,-887.4962912660504
273600.0,281.33,295.3093,294.40778,295.99625,294.61847,294.75354,887.3633178710938,0.040688772961473975,-887.4040066440554
275400.0,281.32468,295.291,294.3947,295.95148,294.5538,294.7357,887.287176513672,0.040689307256735495,-887.3278658209287
277200.0,281.32,295.2662,294.36902,295.96216,294.45758,294.70444,887.247381591797,0.04068984176399328,-887.288071433561
279000.0,281.285,295.25125,294.35294,295.95978,294.4207,294.6771,887.2139648437501,0.04069037680310227,-887.2546552205532
280800.0,281.25,295.23184,294.33618,295.88266,294.40503,294.6548,887.1006835937501,0.041000075415383586,-887.1416836691654
282600.0,281.24707,294.56027,293.7003,295.27243,294.03894,293.9266,885.1829895019532,0.04108798650454563,-885.2240774884577
284400.0,281.25,294.1028,293.18503,294.81882,293.54724,293.40335,883.756658935547,0.041175897615200734,-883.7978348331621
286200.0,281.25293,294.02676,293.11493,294.714,293.4702,293.326,883.505682373047,0.04126379727301898,-883.54694617032
