timestamp,tdis_tot,ener_tot,reward
2026-03-11T15:07:27.117368,0,0.007807507225538613,-0.007807507225538613
2026-03-11T15:07:27.184250,0,0.01402853876893706,-0.01402853876893706
2026-03-11T15:07:27.265973,0,0.022095412700766166,-0.022095412700766166
2026-03-11T15:07:27.333754,0,0.02944897173786741,-0.02944897173786741
2026-03-11T15:07:27.405156,0,0.034115596512837035,-0.034115596512837035
2026-03-11T15:07:27.487215,0,0.04270891405660396,-0.04270891405660396
2026-03-11T15:07:27.569334,0,0.050420114820655504,-0.050420114820655504
2026-03-11T15:07:27.649417,0,0.058287361095018836,-0.058287361095018836
2026-03-11T15:07:27.733599,0,0.06313096444700446,-0.06313096444700446
2026-03-11T15:07:27.813972,0,0.06944385657345906,-0.06944385657345906
2026-03-11T15:07:27.890356,0,0.07542908525131124,-0.07542908525131124
2026-03-11T15:07:27.974377,0,0.08421558740743516,-0.08421558740743516
2026-03-11T15:07:28.056810,0,0.09171889709097927,-0.09171889709097927
2026-03-11T15:07:28.125555,0,0.10022659512931036,-0.10022659512931036
2026-03-11T15:07:28.209050,0,0.10679317085032758,-0.10679317085032758
2026-03-11T15:07:28.289252,0,0.11221901136559663,-0.11221901136559663
2026-03-11T15:07:28.370708,0,0.11937464701741271,-0.11937464701741271
2026-03-11T15:07:28.449567,0,0.12396348346835108,-0.12396348346835108
2026-03-11T15:07:28.532061,0,0.13262062415637968,-0.13262062415637968
2026-03-11T15:07:28.613136,0,0.14027137950959542,-0.14027137950959542
2026-03-11T15:07:28.684692,0,0.14859088174622684,-0.14859088174622684
2026-03-11T15:07:28.755819,0,0.15472117173338315,-0.15472117173338315
2026-03-11T15:07:28.832561,0,0.1641599656016639,-0.1641599656016639
2026-03-11T15:07:28.903928,0,0.17322213036272574,-0.17322213036272574
2026-03-11T15:07:28.971787,0,0.1816353617322257,-0.1816353617322257
2026-03-11T15:07:29.038350,0,0.18689989669837942,-0.18689989669837942
2026-03-11T15:07:29.110766,0,0.19349806825900162,-0.19349806825900162
2026-03-11T15:07:29.187895,0,0.1979663747818232,-0.1979663747818232
2026-03-11T15:07:29.258631,0,0.2029527692468793,-0.2029527692468793
2026-03-11T15:07:29.332586,0,0.2105562011511803,-0.2105562011511803
2026-03-11T15:07:29.410011,0,0.2184987972084301,-0.2184987972084301
2026-03-11T15:07:29.488279,0,0.22760627801064845,-0.22760627801064845
2026-03-11T15:07:29.570403,0,0.23347604357649918,-0.23347604357649918
2026-03-11T15:07:29.635048,0,0.23951542999322742,-0.23951542999322742
2026-03-11T15:07:29.702864,0,0.24602303476120257,-0.24602303476120257
2026-03-11T15:07:29.772632,0,0.2511662046997783,-0.2511662046997783
2026-03-11T15:07:29.839907,0,0.2560048091635694,-0.2560048091635694
2026-03-11T15:07:29.907530,0,0.2624507457448658,-0.2624507457448658
2026-03-11T15:07:29.980319,0,0.2677511659217583,-0.2677511659217583
2026-03-11T15:07:30.048782,0,0.2751173168192214,-0.2751173168192214
2026-03-11T15:07:30.124189,0,0.281395874409017,-0.281395874409017
2026-03-11T15:07:30.196237,0,0.28953522993073894,-0.28953522993073894
2026-03-11T15:07:30.269716,0,0.2970667853385726,-0.2970667853385726
2026-03-11T15:07:30.341098,0,0.3027543976094479,-0.3027543976094479
2026-03-11T15:07:30.431998,0,0.3108384530756968,-0.3108384530756968
2026-03-11T15:07:30.506875,0,0.31882878235903633,-0.31882878235903633
2026-03-11T15:07:30.587074,0,0.3248582833030517,-0.3248582833030517
2026-03-11T15:07:30.657577,0,0.3303985165150578,-0.3303985165150578
2026-03-11T15:07:30.730277,0,0.3377194737152616,-0.3377194737152616
2026-03-11T15:07:30.825657,0,0.3425973236632385,-0.3425973236632385
2026-03-11T15:07:30.912026,0,0.3477167747544429,-0.3477167747544429
2026-03-11T15:07:30.978714,0,0.3519893018685974,-0.3519893018685974
2026-03-11T15:07:31.059515,0,0.3597426479136898,-0.3597426479136898
2026-03-11T15:07:31.135901,0,0.3670305676212682,-0.3670305676212682
