time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
144000.0,285.59,298.1515,297.14755,298.1133,297.82358,297.37534,721.8480020807757,0.6159151932427908,-783.4395214050547
145800.0,285.16873,298.14923,297.13135,298.1121,297.7534,297.35294,721.7713440973773,0.6187716077338782,-783.6485048707651
147600.0,284.38,298.11688,297.07776,298.10373,297.6442,297.2934,721.6111642267717,0.6216489182256986,-783.7760560493416
149400.0,283.52042,298.11908,296.95895,298.11224,297.50418,297.1928,721.4086262873187,0.6246365601015034,-783.872282297469
151200.0,282.68,298.132,296.8834,298.10913,297.41498,297.13297,721.2887020197405,0.6278069829486833,-784.0694003146089
153000.0,281.99753,298.1288,296.77258,298.10727,297.30127,297.03888,721.1086043756975,0.6311933777892247,-784.22794215462
154800.0,281.42,298.12354,296.65973,297.9119,297.15195,296.94318,720.9090989819337,0.6323719272436641,-784.1462917063001
156600.0,280.9741,298.34003,297.38535,298.3896,297.45883,297.7225,722.045542524414,0.6324617511739309,-785.2917176418072
158400.0,280.69,298.32007,297.3645,298.28156,297.4075,297.69925,721.9587212841798,0.6324618213824689,-785.2049034224267
160200.0,280.7094,298.302,297.34216,298.24088,297.41455,297.6711,721.9235019848634,0.6324618917481042,-785.1696911596738
162000.0,280.74,298.29553,297.3308,298.26135,297.4527,297.65546,721.9385789257813,0.6324619623721834,-785.1847751629996
163800.0,280.32144,298.2711,297.30383,298.20203,297.3942,297.62402,721.8422881420898,0.6324620333552592,-785.0884914776158
165600.0,279.98,298.23343,297.2628,298.13702,297.3073,297.57773,721.7015481518555,0.632462104585617,-784.9477586104172
167400.0,279.94833,298.2113,297.23477,298.16125,297.30618,297.54526,721.6614338574219,0.6324621760176216,-784.9076514591841
169200.0,279.92,298.19852,297.21777,298.22025,297.3213,297.5234,721.6537765942384,0.6324622476501376,-784.9000013592521
171000.0,279.89545,298.16068,297.18286,298.231,297.1946,297.48172,721.495349116211,0.6324623194822516,-784.7415810644361
172800.0,279.87,298.104,297.13205,298.17538,297.0266,297.42026,721.7168445141602,0.6324824137029108,-784.9650858844514
174600.0,279.49872,298.0643,297.09088,298.1046,296.94153,297.3736,721.5752921337892,0.6325599295659889,-784.8312850903881
176400.0,279.09,298.03128,297.05194,297.81927,296.90384,297.3363,721.456038630371,0.6326301792588744,-784.7190565562585
178200.0,279.115,298.02234,297.03482,297.93607,296.94785,297.314,721.4803254589845,0.6326677546505731,-784.7471009240418
180000.0,279.14,298.02344,296.9881,297.8897,297.04254,297.3089,721.5401433300782,0.6326817568417382,-784.808319014252
181800.0,278.9892,297.9783,296.8234,297.82254,297.0137,297.26617,721.4279500805665,0.6326966289771939,-784.6976129782859
183600.0,278.86,297.9312,296.6918,297.75336,296.9842,297.2157,721.3118274853516,0.6327344124222347,-784.5852687275751
185400.0,278.8336,297.89868,296.62515,297.69247,296.9719,297.17767,721.2368970288086,0.6327903305895034,-784.5159300877589
187200.0,278.81,297.87186,296.58514,297.63654,296.95126,297.14655,721.1681537670898,0.6328462459008972,-784.4527783571796
189000.0,278.7274,297.83487,296.5151,297.57544,296.88995,297.10733,721.0504770825196,0.6329021632078187,-784.3406934033014
190800.0,278.61,297.78738,296.4268,297.50763,296.8155,297.0571,720.9043720776368,0.6329580841354095,-784.2001804911778
