obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14
-0.21826860308647156,0.10351812839508057,-1.0,-0.2234814167022705,-0.22869423031806946,-0.2339070439338684,-0.2291363775730133,0.10351812839508057,0.10351812839508057,0.10351812839508057,0.10351812839508057,-1.0,-1.0,-1.0,-1.0,0.0,-0.6687507033348083,0.0,-0.22303926944732666,0.10351812839508057,-1.0,-0.21826860308647156,-0.2234814167022705,-0.22869423031806946,-0.2339070439338684,0.10351812839508057,0.10351812839508057,0.10351812839508057,0.10351812839508057,-1.0,-1.0,-1.0,-1.0
0.4014766812324524,0.44869863986968994,0.12745118141174316,0.38605040311813354,0.38060760498046875,0.37516480684280396,0.36972200870513916,0.44869863986968994,0.44869863986968994,0.44869863986968994,0.44869863986968994,0.12745118141174316,0.12745118141174316,0.12745118141174316,0.12745118141174316,0.0,-5.863223552703857,0.0,0.4069194793701172,0.44869863986968994,0.12745118141174316,0.4014766812324524,0.38605040311813354,0.38060760498046875,0.37516480684280396,0.44869863986968994,0.44869863986968994,0.44869863986968994,0.44869863986968994,0.12745118141174316,0.12745118141174316,0.12745118141174316,0.12745118141174316
-0.18277859687805176,0.008333802223205566,-1.0,-0.1879914104938507,-0.19320422410964966,-0.1984170377254486,-0.1936463713645935,0.008333802223205566,0.008333802223205566,0.008333802223205566,0.008333802223205566,-1.0,-1.0,-1.0,-1.0,0.0,-0.2162531316280365,0.0,-0.18754926323890686,0.008333802223205566,-1.0,-0.18277859687805176,-0.1879914104938507,-0.19320422410964966,-0.1984170377254486,0.008333802223205566,0.008333802223205566,0.008333802223205566,0.008333802223205566,-1.0,-1.0,-1.0,-1.0
-0.027752989903092384,-0.14781826734542847,-1.0,-0.022982321679592133,-0.01821165345609188,-0.013440984301269054,-0.008670316077768803,-0.14781826734542847,-0.14781826734542847,-0.14781826734542847,-0.14781826734542847,-1.0,-1.0,-1.0,-1.0,0.0,-0.26032334566116333,0.0,-0.032523658126592636,-0.14781826734542847,-1.0,-0.027752989903092384,-0.022982321679592133,-0.01821165345609188,-0.013440984301269054,-0.14781826734542847,-0.14781826734542847,-0.14781826734542847,-0.14781826734542847,-1.0,-1.0,-1.0,-1.0
-0.24270230531692505,0.023656249046325684,-0.9663050174713135,-0.23823687434196472,-0.2337714433670044,-0.22930601239204407,-0.2348240613937378,0.023656249046325684,0.023656249046325684,0.023656249046325684,0.023656249046325684,-0.9663050174713135,-0.9663050174713135,-0.9663050174713135,-0.9663050174713135,0.0,-0.9763886332511902,0.0,-0.24716773629188538,0.023656249046325684,-0.9663050174713135,-0.24270230531692505,-0.23823687434196472,-0.2337714433670044,-0.22930601239204407,0.023656249046325684,0.023656249046325684,0.023656249046325684,0.023656249046325684,-0.9663050174713135,-0.9663050174713135,-0.9663050174713135,-0.9663050174713135
0.10842355340719223,-0.31359225511550903,-0.8901788592338562,0.11219936609268188,0.11597517877817154,0.1197509914636612,0.12352680414915085,-0.31359225511550903,-0.31359225511550903,-0.31359225511550903,-0.31359225511550903,-0.8901788592338562,-0.8901788592338562,-0.8901788592338562,-0.8901788592338562,0.0,-2.00925874710083,0.0,0.10464774072170258,-0.31359225511550903,-0.8901788592338562,0.10842355340719223,0.11219936609268188,0.11597517877817154,0.1197509914636612,-0.31359225511550903,-0.31359225511550903,-0.31359225511550903,-0.31359225511550903,-0.8901788592338562,-0.8901788592338562,-0.8901788592338562,-0.8901788592338562
0.34368830919265747,0.4715791940689087,-0.7400346994400024,0.3461039662361145,0.34851962327957153,0.35093528032302856,0.3533509373664856,0.4715791940689087,0.4715791940689087,0.4715791940689087,0.4715791940689087,-0.7400346994400024,-0.7400346994400024,-0.7400346994400024,-0.7400346994400024,0.0,-5.026226043701172,0.0,0.34127265214920044,0.4715791940689087,-0.7400346994400024,0.34368830919265747,0.3461039662361145,0.34851962327957153,0.35093528032302856,0.4715791940689087,0.4715791940689087,0.4715791940689087,0.4715791940689087,-0.7400346994400024,-0.7400346994400024,-0.7400346994400024,-0.7400346994400024
-0.19371968507766724,0.15360260009765625,-1.0,-0.1989324986934662,-0.19416183233261108,-0.18939116597175598,-0.18462049961090088,0.15360260009765625,0.15360260009765625,0.15360260009765625,0.15360260009765625,-1.0,-1.0,-1.0,-1.0,1.0,-0.2675251364707947,0.0,-0.1885068714618683,0.15360260009765625,-1.0,-0.19371968507766724,-0.1989324986934662,-0.19416183233261108,-0.18939116597175598,0.15360260009765625,0.15360260009765625,0.15360260009765625,0.15360260009765625,-1.0,-1.0,-1.0,-1.0
0.3204967975616455,0.21518194675445557,-1.0,0.3287210464477539,0.3370840549468994,0.345090389251709,0.3537837266921997,0.23759210109710693,0.2612152099609375,0.2647209167480469,0.2554231882095337,-1.0,-1.0,-1.0,-1.0,1.0,-4.8668599128723145,0.0,0.32570961117744446,0.21518194675445557,-1.0,0.3204967975616455,0.3287210464477539,0.3370840549468994,0.345090389251709,0.21518194675445557,0.23759210109710693,0.2612152099609375,0.2647209167480469,-1.0,-1.0,-1.0,-1.0
0.012410024181008339,-0.021273314952850342,-0.9978945255279541,0.017161618918180466,0.011929735541343689,0.016681330278515816,0.021432925015687943,-0.021273314952850342,-0.021273314952850342,-0.021273314952850342,-0.021273314952850342,-0.9978945255279541,-0.9978945255279541,-0.9978945255279541,-0.9978945255279541,0.0,-0.7726449966430664,0.0,0.007658428978174925,-0.021273314952850342,-0.9978945255279541,0.012410024181008339,0.017161618918180466,0.011929735541343689,0.016681330278515816,-0.021273314952850342,-0.021273314952850342,-0.021273314952850342,-0.021273314952850342,-0.9978945255279541,-0.9978945255279541,-0.9978945255279541,-0.9978945255279541
-0.22076356410980225,-0.05933380126953125,-1.0,-0.21599289774894714,-0.2212057113647461,-0.216435045003891,-0.22164785861968994,-0.05933380126953125,-0.05933380126953125,-0.05933380126953125,-0.05933380126953125,-1.0,-1.0,-1.0,-1.0,0.0,-0.7005614638328552,0.0,-0.22553423047065735,-0.05933380126953125,-1.0,-0.22076356410980225,-0.21599289774894714,-0.2212057113647461,-0.216435045003891,-0.05933380126953125,-0.05933380126953125,-0.05933380126953125,-0.05933380126953125,-1.0,-1.0,-1.0,-1.0
