timestamp,tdis_tot,ener_tot,kpi_disc,kpi_ener,reward,reward_old
2026-04-16T10:49:56.143745,0.0,0.0,0,0,0.0,-0.0
2026-04-16T10:49:56.342988,0.0,0.0,0,0.010115250421742106,0.0,-0.010115250421742106
2026-04-16T10:49:56.422628,0.0,0.0390625,0,0.020420084456435336,-0.0390625,-0.020420084456435336
2026-04-16T10:49:56.497219,0.0,0.0390625,0,0.020506348169574515,-0.078125,-0.020506348169574515
2026-04-16T10:49:56.573867,0.0,0.0,0,0.020506348169574515,-0.078125,-0.020506348169574515
2026-04-16T10:49:56.641407,0.0,0.0,0,0.020506348169574515,-0.078125,-0.020506348169574515
2026-04-16T10:49:56.719576,0.0,0.0,0,0.020506348169574515,-0.078125,-0.020506348169574515
2026-04-16T10:49:56.802143,0.0,0.0,0,0.030374529561081505,-0.078125,-0.030374529561081505
2026-04-16T10:49:56.873450,0.0,0.0390625,0,0.040431514413570555,-0.1171875,-0.040431514413570555
2026-04-16T10:49:56.939848,0.0,0.0390625,0,0.050658906939477145,-0.15625,-0.050658906939477145
2026-04-16T10:49:57.009747,0.0,0.0390625,0,0.06103120687538849,-0.1953125,-0.06103120687538849
2026-04-16T10:49:57.080944,0.0,0.0390625,0,0.07151496816937424,-0.234375,-0.07151496816937424
2026-04-16T10:49:57.150341,0.0,0.0390625,0,0.07160276726239811,-0.2734375,-0.07160276726239811
2026-04-16T10:49:57.224747,0.0,0.0,0,0.08200684454434098,-0.2734375,-0.08200684454434098
2026-04-16T10:49:57.292106,0.0,0.0390625,0,0.09261458310866616,-0.3125,-0.09261458310866616
2026-04-16T10:49:57.357568,0.0,0.0390625,0.05500494053848873,0.10331021792471284,-0.3515625,-0.15831515846320157
2026-04-16T10:49:57.427287,0.13932495117188637,0.0390625,0.2843527627586918,0.11406681651757963,-0.5299499511718864,-0.3984195792762715
2026-04-16T10:49:57.494663,0.32009582519532387,0.0390625,0.6955880130952858,0.12488653694052324,-0.8891082763672102,-0.820474550035809
2026-04-16T10:49:57.563196,0.5022094726562614,0.0390625,1.2885384790938146,0.13577717122393632,-1.4303802490234716,-1.424315650317751
2026-04-16T10:49:57.629309,0.6844299316406364,0.0390625,2.0359567274725627,0.13586837288052867,-2.153872680664108,-2.1718251003530913
2026-04-16T10:49:57.697765,0.7788665771484489,0.0,2.803917353231325,0.13586837288052867,-2.932739257812557,-2.9397857261118534
2026-04-16T10:49:57.770540,0.7447174072265739,0.0,3.549869419696922,0.14660687644978182,-3.6774566650391307,-3.6964762961467037
2026-04-16T10:49:57.840236,0.7773712158203239,0.0390625,4.389011318153765,0.15748607794895378,-4.493890380859455,-4.546497396102718
2026-04-16T10:49:57.904644,0.9069793701171989,0.0390625,5.367931778291791,0.16841598493671997,-5.4399322509766534,-5.536347763228511
2026-04-16T10:49:57.974381,1.0509307861328239,0.0390625,6.490584293531009,0.1793904726930136,-6.529925537109477,-6.669974766224023
2026-04-16T10:49:58.040299,1.1941345214843864,0.0390625,7.724628543316047,0.17948218117971512,-7.763122558593864,-7.904110724495762
2026-04-16T10:49:58.118908,1.2418029785156364,0.0,8.9692769917584,0.1903135011225092,-9.0049255371095,-9.159590492880909
2026-04-16T10:49:58.185867,1.2698486328125114,0.0390625,10.290376411231131,0.2013427467813796,-10.313836669922011,-10.491719158012511
2026-04-16T10:49:58.261071,1.3811462402343864,0.0390625,11.743073577659837,0.21247206953139414,-11.734045410156398,-11.955545647191231
2026-04-16T10:49:58.328411,1.5251739501953239,0.0390625,13.304662954915964,0.2125651216968532,-13.298281860351722,-13.517228076612817
2026-04-16T10:49:58.405163,1.5615966796875114,0.0,14.855262226168799,0.2235331109889237,-14.859878540039233,-15.078795337157723
2026-04-16T10:49:58.472669,1.5611999511718864,0.0390625,16.450441680028593,0.234671704791471,-16.46014099121112,-16.685113384820063
2026-04-16T10:49:58.548098,1.6332977294921989,0.0390625,18.094516645700754,0.23476490404680822,-18.13250122070332,-18.329281549747563
2026-04-16T10:49:58.614353,1.6236999511718864,0.0,19.658294799397524,0.23476490404680822,-19.756201171875205,-19.893059703444333
2026-04-16T10:49:58.690657,1.4929626464843864,0.0,21.067310255230552,0.23476490404680822,-21.24916381835959,-21.30207515927736
