obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14
-0.08063855022192001,-0.07613629102706909,-0.8439557552337646,-0.08652497828006744,-0.10345453768968582,-0.0915658175945282,-0.09732212126255035,-0.07613629102706909,-0.07613629102706909,-0.07613629102706909,-0.07613629102706909,-0.8439557552337646,-0.8439557552337646,-0.8439557552337646,-0.8439557552337646,0.0,-0.0,0.0,-0.09176883101463318,-0.07613629102706909,-0.8439557552337646,-0.08063855022192001,-0.08652497828006744,-0.10345453768968582,-0.0915658175945282,-0.07613629102706909,-0.07613629102706909,-0.07613629102706909,-0.07613629102706909,-0.8439557552337646,-0.8439557552337646,-0.8439557552337646,-0.8439557552337646
-0.10084684193134308,-0.28541821241378784,-1.0,-0.10050874203443527,-0.09035425633192062,-0.10575641691684723,-0.10336190462112427,-0.28541821241378784,-0.28541821241378784,-0.28541821241378784,-0.28541821241378784,-1.0,-1.0,-1.0,-1.0,1.0,-0.0390625,0.0,-0.08589043468236923,-0.28541821241378784,-1.0,-0.10084684193134308,-0.10050874203443527,-0.09035425633192062,-0.10575641691684723,-0.28541821241378784,-0.28541821241378784,-0.28541821241378784,-0.28541821241378784,-1.0,-1.0,-1.0,-1.0
-0.20037363469600677,-0.38036221265792847,-0.9648959040641785,-0.2008601874113083,-0.20046520233154297,-0.2040456235408783,-0.19869597256183624,-0.38036221265792847,-0.38036221265792847,-0.38036221265792847,-0.38036221265792847,-0.9648959040641785,-0.9648959040641785,-0.9648959040641785,-0.9648959040641785,1.0,-0.4041260778903961,0.0,-0.199220672249794,-0.38036221265792847,-0.9648959040641785,-0.20037363469600677,-0.2008601874113083,-0.20046520233154297,-0.2040456235408783,-0.38036221265792847,-0.38036221265792847,-0.38036221265792847,-0.38036221265792847,-0.9648959040641785,-0.9648959040641785,-0.9648959040641785,-0.9648959040641785
-0.016407404094934464,0.17173004150390625,-1.0,-0.01605013757944107,-0.014791328459978104,-0.015190821141004562,-0.01334318146109581,0.17173004150390625,0.17173004150390625,0.17173004150390625,0.17173004150390625,-1.0,-1.0,-1.0,-1.0,0.0,-0.4558303654193878,0.0,-0.01718977466225624,0.17173004150390625,-1.0,-0.016407404094934464,-0.01605013757944107,-0.014791328459978104,-0.015190821141004562,0.17173004150390625,0.17173004150390625,0.17173004150390625,0.17173004150390625,-1.0,-1.0,-1.0,-1.0
0.23680606484413147,0.08894729614257812,-1.0,0.2401631474494934,0.24371522665023804,0.24682652950286865,0.24908369779586792,0.08894729614257812,0.08894729614257812,0.08894729614257812,0.08894729614257812,-1.0,-1.0,-1.0,-1.0,0.0,-3.6486406326293945,0.0,0.2332267165184021,0.08894729614257812,-1.0,0.23680606484413147,0.2401631474494934,0.24371522665023804,0.24682652950286865,0.08894729614257812,0.08894729614257812,0.08894729614257812,0.08894729614257812,-1.0,-1.0,-1.0,-1.0
-0.19797681272029877,-0.08749008178710938,-1.0,-0.19433888792991638,-0.17995433509349823,-0.19857217371463776,-0.19555890560150146,-0.08749008178710938,-0.08749008178710938,-0.08749008178710938,-0.08749008178710938,-1.0,-1.0,-1.0,-1.0,0.0,-0.4080202579498291,0.0,-0.20258982479572296,-0.08749008178710938,-1.0,-0.19797681272029877,-0.19433888792991638,-0.17995433509349823,-0.19857217371463776,-0.08749008178710938,-0.08749008178710938,-0.08749008178710938,-0.08749008178710938,-1.0,-1.0,-1.0,-1.0
-0.19903025031089783,-0.5959116220474243,-0.8638402819633484,-0.19874843955039978,-0.20814834535121918,-0.19092853367328644,-0.1925974190235138,-0.5959116220474243,-0.5959116220474243,-0.5959116220474243,-0.5959116220474243,-0.8638402819633484,-0.8638402819633484,-0.8638402819633484,-0.8638402819633484,1.0,-0.3857118785381317,0.0,-0.1977764219045639,-0.5959116220474243,-0.8638402819633484,-0.19903025031089783,-0.19874843955039978,-0.20814834535121918,-0.19092853367328644,-0.5959116220474243,-0.5959116220474243,-0.5959116220474243,-0.5959116220474243,-0.8638402819633484,-0.8638402819633484,-0.8638402819633484,-0.8638402819633484
-0.22790472209453583,-0.12858200073242188,-1.0,-0.23199932277202606,-0.23472446203231812,-0.23886573314666748,-0.2407541573047638,-0.12858200073242188,-0.12858200073242188,-0.12858200073242188,-0.12858200073242188,-1.0,-1.0,-1.0,-1.0,0.0,-0.9789586067199707,0.0,-0.24736930429935455,-0.12858200073242188,-1.0,-0.22790472209453583,-0.23199932277202606,-0.23472446203231812,-0.23886573314666748,-0.12858200073242188,-0.12858200073242188,-0.12858200073242188,-0.12858200073242188,-1.0,-1.0,-1.0,-1.0
0.010656480677425861,0.007783293724060059,-1.0,0.012199153192341328,0.012499690987169743,0.01938471570611,0.007619236595928669,0.007783293724060059,0.007783293724060059,0.007783293724060059,0.007783293724060059,-1.0,-1.0,-1.0,-1.0,0.0,-0.8004341125488281,0.0,0.009837971068918705,0.007783293724060059,-1.0,0.010656480677425861,0.012199153192341328,0.012499690987169743,0.01938471570611,0.007783293724060059,0.007783293724060059,0.007783293724060059,0.007783293724060059,-1.0,-1.0,-1.0,-1.0
-0.1041465550661087,0.47996389865875244,-0.8133003115653992,-0.11163896322250366,-0.12081373482942581,-0.12712731957435608,-0.13949011266231537,0.47996389865875244,0.47996389865875244,0.47996389865875244,0.47996389865875244,-0.8133003115653992,-0.8133003115653992,-0.8133003115653992,-0.8133003115653992,1.0,-0.0390625,0.0,-0.07956628501415253,0.47996389865875244,-0.8133003115653992,-0.1041465550661087,-0.11163896322250366,-0.12081373482942581,-0.12712731957435608,0.47996389865875244,0.47996389865875244,0.47996389865875244,0.47996389865875244,-0.8133003115653992,-0.8133003115653992,-0.8133003115653992,-0.8133003115653992
