time_seconds,Tin_degC,Tout_degC,Psol_Wm2,action,energy_kWh,discomfort
0,21.293878173828148,-6.1035156022626325e-06,0.0,0,7.177881303484164e-05,0.0
1800,21.239160156250023,-0.05917968749997726,0.0,0,7.177881303484164e-05,0.0
3600,21.005395507812523,-0.19998779296872726,0.0,0,7.177881303484164e-05,0.06394342123996163
5400,20.737634277343773,-0.22626342773435226,0.0,0,7.177881303484164e-05,0.2612312629555954
7200,20.476403808593773,-0.19998779296872726,0.0,0,7.177881303484164e-05,0.5836877670028897
9000,20.237420654296898,-0.05805053710935226,0.0,0,7.177881303484164e-05,1.0206326149404576
10800,20.017449951171898,0.10000000000002274,0.0,0,7.177881303484164e-05,1.5640782280972951
12600,19.810632324218773,0.14760742187502274,0.0,1,0.009260390008339009,2.1720209836305697
14400,19.814294433593773,0.20000610351564774,0.0,1,0.0185403749901504,2.7264967615718305
16200,19.977197265625023,0.37667236328127274,0.0,1,0.027916382202218856,3.1892923282439534
18000,20.175408935546898,0.7000061035156477,0.0,1,0.037388878342197625,3.5479528466180827
19800,20.392083740234398,1.1499877929687727,0.0,1,0.04695707276594591,3.7961018557236614
21600,20.615563964843773,1.6000000000000227,0.0,1,0.056613360288518245,3.932684204193184
23400,20.837762451171898,2.0042968750000227,0.0,1,0.06635180128592039,3.9624863512930975
25200,21.058435058593773,2.3999877929687727,0.0,1,0.07616914745908336,3.9624863512930975
27000,21.215051269531273,2.7982116699218977,0.0,1,0.08605973067540164,3.9624863512930975
28800,21.415887451171898,3.1000000000000227,0.0,1,0.09600533305320105,3.9624863512930975
30600,21.602746582031273,3.1799865722656477,0.0,1,0.10598644929897195,3.9624863512930975
32400,21.771875000000023,3.2000061035156477,0.0,1,0.11600151872187912,3.9624863512930975
34200,21.933007812500023,3.2783447265625227,0.0,1,0.1260516973944245,3.9624863512930975
36000,22.089776611328148,3.3999877929687727,0.0,0,0.1261356046325425,3.9624863512930975
37800,22.086785888671898,3.6541687011718977,0.0,0,0.1261356046325425,3.9624863512930975
39600,21.900964355468773,3.9999938964843977,29.371044,0,0.1261356046325425,3.9624863512930975
41400,21.730920410156273,4.380364990234398,75.0,0,0.1261356046325425,3.9624863512930975
43200,21.620629882812523,4.800012207031273,106.89307,0,0.1261356046325425,3.9624863512930975
45000,21.557458496093773,5.457147216796898,129.0,0,0.1261356046325425,3.9624863512930975
46800,21.519586181640648,5.999993896484398,124.81922,0,0.1261356046325425,3.9624863512930975
48600,21.460717773437523,6.026910400390648,100.0,0,0.1261356046325425,3.9624863512930975
50400,21.347558593750023,5.999993896484398,63.779343,0,0.1261356046325425,3.9624863512930975
52200,21.209558105468773,6.110589599609398,30.0,0,0.1261356046325425,3.9624863512930975
54000,21.055047607421898,6.200006103515648,9.137324,0,0.1261356046325425,3.9624863512930975
55800,20.888787841796898,6.249993896484398,0.0,0,0.1261356046325425,3.9624863512930975
57600,20.754479980468773,6.300012207031273,0.0,0,0.1261356046325425,3.9624863512930975
59400,20.667352294921898,6.350000000000023,0.0,0,0.1261356046325425,3.9624863512930975
61200,20.557000732421898,6.399987792968773,0.0,0,0.1261356046325425,3.9624863512930975
63000,20.360375976562523,6.499993896484398,0.0,0,0.1261356046325425,3.9624863512930975
64800,20.202142333984398,6.600000000000023,0.0,0,0.1261356046325425,3.9624863512930975
66600,20.054559326171898,6.359368896484398,0.0,0,0.1261356046325425,3.9624863512930975
68400,19.907312011718773,6.100000000000023,0.0,1,0.13584945795048936,3.9624863512930975
70200,20.024774169921898,6.128137207031273,0.0,1,0.145653941687486,3.9652634665981568
72000,20.333489990234398,6.200006103515648,0.0,1,0.15558114826951538,4.193176921944813
73800,20.730371093750023,6.300012207031273,0.0,1,0.16561523548968984,4.244115301309991
75600,21.085168457031273,6.399987792968773,0.0,1,0.1757438359995761,4.244115301309991
77400,21.432427978515648,6.499993896484398,0.0,1,0.1859570139324993,4.244115301309991
79200,21.752526855468773,6.600000000000023,0.0,1,0.19624545173358804,4.244115301309991
81000,22.046258544921898,6.667504882812523,0.0,0,0.19633146896902381,4.244115301309991
82800,22.142877197265648,6.700006103515648,0.0,0,0.19633146896902381,4.244115301309991
84600,21.997125244140648,6.703332519531273,0.0,0,0.19633146896902381,4.244115301309991
86400,21.769128417968773,6.600000000000023,0.0,0,0.19633146896902381,4.244115301309991
88200,21.525354003906273,6.372216796875023,0.0,0,0.19633146896902381,4.244115301309991
90000,21.293359375000023,6.100000000000023,0.0,0,0.19633146896902381,4.244115301309991
91800,21.072869873046898,5.775689697265648,0.0,0,0.19633146896902381,4.266527817255869
93600,20.865197753906273,5.499993896484398,0.0,0,0.19633146896902381,4.381327995361888
95400,20.679895019531273,5.425012207031273,0.0,0,0.19633146896902381,4.5831081550044015
97200,20.515405273437523,5.399987792968773,0.0,0,0.19633146896902381,4.864801386365848
99000,20.358392333984398,5.300561523437523,0.0,0,0.19633146896902381,5.223916911841607
100800,20.206567382812523,5.200006103515648,0.0,0,0.19633146896902381,5.6556307658491525
102600,20.070581054687523,5.350000000000023,0.0,0,0.19633146896902381,6.150454923740944
104400,19.950769042968773,5.499993896484398,0.0,1,0.2059774696677759,6.663374168071674
106200,20.059625244140648,5.143182373046898,0.0,1,0.215666546352476,7.06758261304473
108000,20.331811523437523,4.800012207031273,0.0,1,0.22544456091445028,7.326122954303484
109800,20.636102294921898,4.749993896484398,0.0,1,0.23530529972869463,7.43140785712928
111600,20.941461181640648,4.700006103515648,0.0,1,0.24523600442815904,7.437099592380027
