time,outside_temp,t_cor,t_nor,t_sou,t_wes,t_eas,tdis_tot,ener_tot,reward
432000.0,283.34,293.88727,293.19067,294.87915,293.24878,293.48712,294.4629581298828,5.399739058678058e-07,-294.4629586698567
433800.0,283.76938,293.8701,293.16785,294.83395,293.2322,293.47244,294.442848236084,1.0765081528337283e-06,-294.44284931259216
435600.0,283.78,293.85052,293.15247,294.78555,293.19904,293.45084,294.421141204834,1.6198680307345345e-06,-294.42114282470203
437400.0,282.67188,293.83502,293.1872,294.73862,293.15594,293.42007,294.40727377319337,2.772581611404096e-05,-294.40730149900946
439200.0,281.47,293.80432,293.1458,294.6782,293.1101,293.3715,294.3730578308105,0.0058986579763240935,-294.37895648878686
441000.0,281.33994,295.25455,294.47058,296.07486,294.5531,294.9605,295.8077092590332,0.007837942713230371,-295.8155472017464
442800.0,281.7,294.25345,293.5088,294.98566,293.56305,293.82266,294.802365234375,0.007837987594413787,-294.8102032219694
444600.0,283.09943,293.87024,293.14886,294.65274,293.23102,293.43497,294.42555728149415,0.010532928357847398,-294.436090209852
446400.0,284.52,295.32114,294.48535,296.32648,294.67477,294.9828,295.8858878173828,0.01332805710037097,-295.89921587448316
448200.0,282.83942,295.43475,294.56366,296.42487,294.77332,295.09525,295.99510803222654,0.016429460160250063,-296.01153749238676
450000.0,280.85,295.54422,294.5797,296.87146,294.82288,295.14523,296.12577764892575,0.01936374869809451,-296.14514139762383
451800.0,282.63675,295.53925,294.62244,296.34225,294.86588,295.18738,296.0793450012207,0.022020820611856586,-296.10136582183253
453600.0,284.05,295.57663,294.6955,296.214,294.93198,295.24994,296.1054212646484,0.022169121479891706,-296.1275903861283
455400.0,282.52295,293.10693,292.51614,293.88586,292.4017,292.25333,293.6733018493652,0.022406046351553854,-293.69570789571674
457200.0,280.92,293.13223,292.36908,294.81976,292.67554,292.73364,293.76265350341794,0.024135289703203656,-293.78678879312116
459000.0,279.889,293.28796,292.40314,295.306,293.14758,293.1577,293.9365530700683,0.026016914814282577,-293.96256998488263
460800.0,279.82,293.27722,292.37338,295.34552,293.1515,293.1867,293.92852963256837,0.02710038276991491,-293.9556300153383
462600.0,281.64413,293.42383,292.6078,294.80533,293.22885,293.27545,294.0230231628418,0.027634983357806918,-294.0506581461996
464400.0,283.66,293.7835,292.96216,295.28668,293.2589,293.17346,294.3741841081891,0.02800180733227611,-294.4021859155214
