obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,action,reward,done,next_obs_0,next_obs_1,next_obs_2,next_obs_3,next_obs_4,next_obs_5,next_obs_6,next_obs_7,next_obs_8,next_obs_9,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14
-0.07168173789978027,-0.5131915807723999,-0.678834080696106,-0.07674765586853027,-0.08264565467834473,-0.089508056640625,-0.08944499492645264,-0.5255721211433411,-0.5360203981399536,-0.5433365702629089,-0.5455916523933411,-0.6362147331237793,-0.5975631475448608,-0.6928297281265259,-0.97333163022995,0.0,-3.742165063158609e-05,0.0,-0.07026368379592896,-0.4974220395088196,-0.7210274338722229,-0.07168173789978027,-0.07674765586853027,-0.08264565467834473,-0.089508056640625,-0.5131915807723999,-0.5255721211433411,-0.5360203981399536,-0.5433365702629089,-0.678834080696106,-0.6362147331237793,-0.5975631475448608,-0.6928297281265259
-0.07026368379592896,-0.4974220395088196,-0.7210274338722229,-0.07168173789978027,-0.07674765586853027,-0.08264565467834473,-0.089508056640625,-0.5131915807723999,-0.5255721211433411,-0.5360203981399536,-0.5433365702629089,-0.678834080696106,-0.6362147331237793,-0.5975631475448608,-0.6928297281265259,0.0,-3.742165063158609e-05,0.0,-0.07243245840072632,-0.4786730408668518,-0.7706073522567749,-0.07026368379592896,-0.07168173789978027,-0.07674765586853027,-0.08264565467834473,-0.4974220395088196,-0.5131915807723999,-0.5255721211433411,-0.5360203981399536,-0.7210274338722229,-0.678834080696106,-0.6362147331237793,-0.5975631475448608
-0.07243245840072632,-0.4786730408668518,-0.7706073522567749,-0.07026368379592896,-0.07168173789978027,-0.07674765586853027,-0.08264565467834473,-0.4974220395088196,-0.5131915807723999,-0.5255721211433411,-0.5360203981399536,-0.7210274338722229,-0.678834080696106,-0.6362147331237793,-0.5975631475448608,1.0,-0.009303197264671326,0.0,-0.06785887479782104,-0.4605632424354553,-0.8343849182128906,-0.07243245840072632,-0.07026368379592896,-0.07168173789978027,-0.07674765586853027,-0.4786730408668518,-0.4974220395088196,-0.5131915807723999,-0.5255721211433411,-0.7706073522567749,-0.7210274338722229,-0.678834080696106,-0.6362147331237793
-0.06785887479782104,-0.4605632424354553,-0.8343849182128906,-0.07243245840072632,-0.07026368379592896,-0.07168173789978027,-0.07674765586853027,-0.4786730408668518,-0.4974220395088196,-0.5131915807723999,-0.5255721211433411,-0.7706073522567749,-0.7210274338722229,-0.678834080696106,-0.6362147331237793,1.0,-0.018815044313669205,0.0,-0.05324912071228027,-0.4443359375,-0.8984422087669373,-0.06785887479782104,-0.07243245840072632,-0.07026368379592896,-0.07168173789978027,-0.4605632424354553,-0.4786730408668518,-0.4974220395088196,-0.5131915807723999,-0.8343849182128906,-0.7706073522567749,-0.7210274338722229,-0.678834080696106
-0.05324912071228027,-0.4443359375,-0.8984422087669373,-0.06785887479782104,-0.07243245840072632,-0.07026368379592896,-0.07168173789978027,-0.4605632424354553,-0.4786730408668518,-0.4974220395088196,-0.5131915807723999,-0.8343849182128906,-0.7706073522567749,-0.7210274338722229,-0.678834080696106,0.0,-0.018894897773861885,0.0,-0.04703164100646973,-0.4304649233818054,-0.9617024064064026,-0.05324912071228027,-0.06785887479782104,-0.07243245840072632,-0.07026368379592896,-0.4443359375,-0.4605632424354553,-0.4786730408668518,-0.4974220395088196,-0.8984422087669373,-0.8343849182128906,-0.7706073522567749,-0.7210274338722229
-0.04703164100646973,-0.4304649233818054,-0.9617024064064026,-0.05324912071228027,-0.06785887479782104,-0.07243245840072632,-0.07026368379592896,-0.4443359375,-0.4605632424354553,-0.4786730408668518,-0.4974220395088196,-0.8984422087669373,-0.8343849182128906,-0.7706073522567749,-0.7210274338722229,0.0,-0.018894897773861885,0.0,-0.05523276329040527,-0.4235326051712036,-0.9967398047447205,-0.04703164100646973,-0.05324912071228027,-0.06785887479782104,-0.07243245840072632,-0.4304649233818054,-0.4443359375,-0.4605632424354553,-0.4786730408668518,-0.9617024064064026,-0.8984422087669373,-0.8343849182128906,-0.7706073522567749
-0.05523276329040527,-0.4235326051712036,-0.9967398047447205,-0.04703164100646973,-0.05324912071228027,-0.06785887479782104,-0.07243245840072632,-0.4304649233818054,-0.4443359375,-0.4605632424354553,-0.4786730408668518,-0.9617024064064026,-0.8984422087669373,-0.8343849182128906,-0.7706073522567749,1.0,-0.02836257591843605,0.0,-0.05663657188415527,-0.42471152544021606,-1.0,-0.05523276329040527,-0.04703164100646973,-0.05324912071228027,-0.06785887479782104,-0.4235326051712036,-0.4304649233818054,-0.4443359375,-0.4605632424354553,-0.9967398047447205,-0.9617024064064026,-0.8984422087669373,-0.8343849182128906
-0.05663657188415527,-0.42471152544021606,-1.0,-0.05523276329040527,-0.04703164100646973,-0.05324912071228027,-0.06785887479782104,-0.4235326051712036,-0.4304649233818054,-0.4443359375,-0.4605632424354553,-0.9967398047447205,-0.9617024064064026,-0.8984422087669373,-0.8343849182128906,1.0,-0.0379960872232914,0.0,-0.047259509563446045,-0.4294224977493286,-1.0,-0.05663657188415527,-0.05523276329040527,-0.04703164100646973,-0.05324912071228027,-0.42471152544021606,-0.4235326051712036,-0.4304649233818054,-0.4443359375,-1.0,-0.9967398047447205,-0.9617024064064026,-0.8984422087669373
-0.047259509563446045,-0.4294224977493286,-1.0,-0.05663657188415527,-0.05523276329040527,-0.04703164100646973,-0.05324912071228027,-0.42471152544021606,-0.4235326051712036,-0.4304649233818054,-0.4443359375,-1.0,-0.9967398047447205,-0.9617024064064026,-0.8984422087669373,0.0,-0.038076721131801605,0.0,-0.045379638671875,-0.4365925192832947,-1.0,-0.047259509563446045,-0.05663657188415527,-0.05523276329040527,-0.04703164100646973,-0.4294224977493286,-0.42471152544021606,-0.4235326051712036,-0.4304649233818054,-1.0,-1.0,-0.9967398047447205,-0.9617024064064026
-0.045379638671875,-0.4365925192832947,-1.0,-0.047259509563446045,-0.05663657188415527,-0.05523276329040527,-0.04703164100646973,-0.4294224977493286,-0.42471152544021606,-0.4235326051712036,-0.4304649233818054,-1.0,-1.0,-0.9967398047447205,-0.9617024064064026,0.0,-0.038076721131801605,0.0,-0.05615639686584473,-0.44448691606521606,-1.0,-0.045379638671875,-0.047259509563446045,-0.05663657188415527,-0.05523276329040527,-0.4365925192832947,-0.4294224977493286,-0.42471152544021606,-0.4235326051712036,-1.0,-1.0,-1.0,-0.9967398047447205
