last_cor,act_cor,new_cor,last_nor,act_nor,new_nor,last_sou,act_sou,new_sou,last_wes,act_wes,new_wes,last_eas,act_eas,new_eas
291.15,1.0958242,292.24582424163816,291.15,-0.24448621,291.15,291.15,1.4343917,292.58439173698423,291.15,0.7894721,291.9394721031189,291.15,-1.6232907,291.15
292.24582424163816,1.9024894,294.14831366539,291.15,1.0445588,292.194558763504,292.58439173698423,1.1442571,293.72864880561826,291.9394721031189,-1.4875455,291.15,291.15,-0.19845629,291.15
294.14831366539,-0.5168079,293.6315057516098,292.194558763504,1.7070599,293.9016186237335,293.72864880561826,0.57546043,294.3041092395782,291.15,1.2910466,292.44104661941526,291.15,-0.22634315,291.15
293.6315057516098,-1.0910451,292.5404606103897,293.9016186237335,0.2183392,294.1199578285217,294.3041092395782,-1.744731,292.55937829017637,292.44104661941526,1.3105247,293.7515713214874,291.15,0.5266576,291.6766575813293
292.5404606103897,1.032351,293.572811627388,294.1199578285217,-0.58189607,293.53806176185606,292.55937829017637,1.882792,294.44217028617857,293.7515713214874,1.5724845,295.324055814743,291.6766575813293,1.113534,292.79019155502317
293.572811627388,-1.2214452,292.3513664245605,293.53806176185606,-0.133116,293.40494575500486,294.44217028617857,-1.824785,292.6173852920532,295.324055814743,-1.3828421,293.9412137508392,292.79019155502317,0.73219585,293.5223874092102
292.3513664245605,0.9790487,293.3304151535034,293.40494575500486,1.870039,295.2749847412109,292.6173852920532,-0.69669855,291.9206867456436,293.9412137508392,-0.5181612,293.423052573204,293.5223874092102,-0.1217767,293.40061070919035
293.3304151535034,-1.2421145,292.0883006095886,295.2749847412109,-1.480314,293.79467072486875,291.9206867456436,-0.09718025,291.82350649833677,293.423052573204,-1.0923626,292.3306899309158,293.40061070919035,0.67925596,294.0798666715622
292.0883006095886,-0.25139236,291.83690824508665,293.79467072486875,1.3307128,295.1253835201263,291.82350649833677,0.80106044,292.6245669364929,292.3306899309158,-0.75053346,291.58015646934507,294.0798666715622,1.3290391,295.40890576839445
291.83690824508665,1.2190576,293.0559658050537,295.1253835201263,-0.45008647,294.6752970457077,292.6245669364929,-0.84668756,291.7778793811798,291.58015646934507,0.7299819,292.31013836860654,295.40890576839445,-1.4409901,293.96791567802427
293.0559658050537,-1.2003672,291.85559859275816,294.6752970457077,-1.9705509,292.70474615097044,291.7778793811798,1.1476974,292.92557682991026,292.31013836860654,0.6594033,292.96954169273374,293.96791567802427,0.82066154,294.7885772228241
291.85559859275816,1.1229162,292.9785148143768,292.70474615097044,-0.16433692,292.5404092311859,292.92557682991026,0.2749648,293.200541639328,292.96954169273374,-1.440812,291.52872970104215,294.7885772228241,-1.5418797,293.2466975688934
292.9785148143768,0.6736119,293.65212669372556,292.5404092311859,-0.11561513,292.42479410171507,293.200541639328,0.26094437,293.46148600578306,291.52872970104215,1.0599954,292.5887251138687,293.2466975688934,0.5388732,293.7855707645416
293.65212669372556,0.21431756,293.8664442539215,292.42479410171507,0.23682857,292.6616226673126,293.46148600578306,-0.7841996,292.6772864103317,292.5887251138687,-1.8767287,291.15,293.7855707645416,-0.25313044,293.532440328598
293.8664442539215,-1.1416613,292.7247829675674,292.6616226673126,-0.3658855,292.2957371711731,292.6772864103317,1.4136124,294.09089877605436,291.15,-1.064242,291.15,293.532440328598,-1.7667891,291.76565124988554
292.7247829675674,-0.8744645,291.8503184556961,292.2957371711731,-0.82562494,291.47011222839353,294.09089877605436,0.647666,294.7385647535324,291.15,0.22812867,291.3781286716461,291.76565124988554,1.1355929,292.901244187355
291.8503184556961,0.6572542,292.50757267475126,291.47011222839353,-0.3744526,291.15,294.7385647535324,1.2560816,295.9946463346481,291.3781286716461,-1.3321084,291.15,292.901244187355,-1.9091517,291.15
292.50757267475126,-1.6398085,291.15,291.15,0.88943744,292.0394374370575,295.9946463346481,-0.1524911,295.8421552419662,291.15,-1.3549129,291.15,291.15,0.004179001,291.15417900085447
291.15,-1.3907516,291.15,292.0394374370575,0.7852814,292.8247188568115,295.8421552419662,-0.21537495,295.626780295372,291.15,-0.47591507,291.15,291.15417900085447,-0.79395163,291.15
291.15,0.5211303,291.67113032341,292.8247188568115,-0.55274963,292.27196922302244,295.626780295372,-1.6494004,293.9773799419403,291.15,-1.5279764,291.15,291.15,1.8475907,292.9975906848907
291.67113032341,1.6343226,293.30545296669004,292.27196922302244,0.7988286,293.0707978248596,293.9773799419403,-0.9365201,293.0408598423004,291.15,1.8767056,293.02670564651487,292.9975906848907,1.1150036,294.11259427070615
293.30545296669004,0.86756086,294.1730138301849,293.0707978248596,-0.20255399,292.86824383735654,293.0408598423004,-0.91103375,292.12982609272,293.02670564651487,-1.6144361,291.4122694969177,294.11259427070615,1.6104097,295.72300400733945
294.1730138301849,-0.1768949,293.99611892700193,292.86824383735654,-1.1905465,291.6776973247528,292.12982609272,-0.7761736,291.35365250110624,291.4122694969177,0.31687832,291.7291478157043,295.72300400733945,-1.2929089,294.4300951004028
293.99611892700193,1.4264572,295.4225760936737,291.6776973247528,1.0340781,292.7117754459381,291.35365250110624,0.87785196,292.23150446414945,291.7291478157043,-0.2716279,291.4575199127197,294.4300951004028,0.5092354,294.9393304824829
295.4225760936737,0.33639193,295.75896801948545,292.7117754459381,0.59938645,293.3111618995666,292.23150446414945,-1.6622227,291.15,291.4575199127197,-0.33677042,291.15,294.9393304824829,-1.8335433,293.1057871818542
295.75896801948545,-0.024036765,295.7349312543869,293.3111618995666,-0.6805551,292.6306067943573,291.15,-1.4219033,291.15,291.15,-1.5863881,291.15,293.1057871818542,0.3505783,293.4563654899597
295.7349312543869,-1.3176281,294.417303109169,292.6306067943573,1.7004805,294.3310872554779,291.15,0.3242445,291.4742444992065,291.15,-0.6125207,291.15,293.4563654899597,0.363662,293.8200274944305
294.417303109169,-1.9087845,292.50851860046384,294.3310872554779,1.8342369,296.16532411575315,291.4742444992065,-0.07078624,291.40345826148985,291.15,1.1309409,292.28094091415403,293.8200274944305,-1.66908,292.1509474754333
292.50851860046384,-0.05336666,292.45515193939207,296.16532411575315,-0.03717208,296.12815203666685,291.40345826148985,1.7513058,293.1547640800476,292.28094091415403,0.2869122,292.5678531169891,292.1509474754333,-0.106042385,292.044905090332
292.45515193939207,-0.93209743,291.5230545043945,296.12815203666685,-0.67372394,295.4544281005859,293.1547640800476,0.08268952,293.2374536037445,292.5678531169891,-0.24435413,292.3234989881515,292.044905090332,-1.9135517,291.15
291.5230545043945,1.3051677,292.8282221794128,295.4544281005859,1.5846431,297.03907122612,293.2374536037445,-1.4390036,291.7984500169754,292.3234989881515,0.21614456,292.5396435499191,291.15,-1.5656971,291.15
292.8282221794128,0.6889603,293.5171824932098,297.03907122612,-0.87506485,296.16400637626646,291.7984500169754,0.63769054,292.4361405611038,292.5396435499191,0.90797853,293.4476220846176,291.15,1.07459,292.22458996772764
293.5171824932098,-1.5690362,291.94814624786375,296.16400637626646,1.6640472,297.8280536174774,292.4361405611038,-1.079144,291.3569965600967,293.4476220846176,-1.8503498,291.5972723007202,292.22458996772764,0.21940994,292.4439999103546
291.94814624786375,-0.51631093,291.4318353176117,297.8280536174774,1.319159,298.15,291.3569965600967,1.233006,292.5900025606155,291.5972723007202,-0.73144436,291.15,292.4439999103546,1.8115976,294.2555974960327
291.4318353176117,-0.8363286,291.15,298.15,0.060228586,298.15,292.5900025606155,-0.97613966,291.61386289596555,291.15,1.7441742,292.89417424201963,294.2555974960327,-1.3415687,292.9140287876129
291.15,-1.8203576,291.15,298.15,-0.25961173,297.8903882741928,291.61386289596555,1.9695022,293.5833651065826,292.89417424201963,1.566709,294.4608832836151,292.9140287876129,0.994432,293.90846076011655
291.15,1.56317,292.71316995620725,297.8903882741928,1.5737867,298.15,293.5833651065826,0.07543349,293.65879859924314,294.4608832836151,-0.7362838,293.7245995044708,293.90846076011655,1.0880499,294.9965106487274
292.71316995620725,0.64664507,293.35981502532957,298.15,-0.50536907,297.6446309328079,293.65879859924314,-1.6221334,292.03666522502897,293.7245995044708,0.9871583,294.71175780296323,294.9965106487274,-0.9501579,294.0463527679443
293.35981502532957,1.7472525,295.107067489624,297.6446309328079,-1.0361177,296.6085132598877,292.03666522502897,-1.5089682,291.15,294.71175780296323,1.3244507,296.0362085342407,294.0463527679443,-1.3868628,292.65949001312254
295.107067489624,-1.2829268,293.8241406917572,296.6085132598877,0.39753103,297.00604429244993,291.15,1.4982481,292.64824810028074,296.0362085342407,-1.2142613,294.82194724082945,292.65949001312254,-0.7587054,291.9007846355438
293.8241406917572,1.1096194,294.93376007080076,297.00604429244993,1.8873057,298.15,292.64824810028074,0.002964735,292.65121283531187,294.82194724082945,-1.42441,293.39753725528715,291.9007846355438,-1.9442549,291.15
294.93376007080076,-1.0813758,293.8523842334747,298.15,-1.4727111,296.6772889137268,292.65121283531187,0.7106347,293.3618475437164,293.39753725528715,-1.51267,291.88486721515653,291.15,0.025319815,291.175319814682
293.8523842334747,0.7770498,294.6294340133667,296.6772889137268,0.32446647,297.00175538063047,293.3618475437164,-1.2008973,292.16095020771024,291.88486721515653,1.2164981,293.1013653516769,291.175319814682,0.86162853,292.03694834709165
294.6294340133667,0.95593596,295.5853699684143,297.00175538063047,-1.475769,295.5259863376617,292.16095020771024,-1.5049847,291.15,293.1013653516769,1.7102504,294.81161572933195,292.03694834709165,-0.40968728,291.62726106643674
295.5853699684143,-0.7962053,294.789164686203,295.5259863376617,-0.045663834,295.48032250404356,291.15,0.65145683,291.8014568328857,294.81161572933195,1.8224931,296.6341088056564,291.62726106643674,-0.85421515,291.15
294.789164686203,1.6992338,296.48839845657346,295.48032250404356,-1.900562,293.5797604560852,291.8014568328857,0.2207923,292.0222491264343,296.6341088056564,0.5359006,297.17000939846037,291.15,-1.5764104,291.15
296.48839845657346,-1.4386417,295.04975678920744,293.5797604560852,-0.3235427,293.2562177419662,292.0222491264343,1.8649278,293.8871768951416,297.17000939846037,0.3841703,297.55417969226835,291.15,1.7320929,292.8820928573608
295.04975678920744,1.2174437,296.26720049381254,293.2562177419662,-0.13047361,293.1257441282272,293.8871768951416,1.1390538,295.0262307167053,297.55417969226835,-1.9286529,295.62552680969236,292.8820928573608,-1.563424,291.3186688661575
296.26720049381254,1.3177145,297.58491494655607,293.1257441282272,1.1872683,294.3130123853683,295.0262307167053,-1.069437,293.95679368972776,295.62552680969236,0.123078346,295.7486051559448,291.3186688661575,0.4240632,291.7427320718765
297.58491494655607,1.4709558,298.15,294.3130123853683,0.41242862,294.72544100284574,293.95679368972776,-0.34971368,293.6070800065994,295.7486051559448,-0.50326383,295.2453413248062,291.7427320718765,-0.2964716,291.44626047611234
298.15,0.6077242,298.15,294.72544100284574,1.4699626,296.19540359973905,293.6070800065994,-0.18441248,293.42266752719877,295.2453413248062,-1.0086417,294.2366996049881,291.44626047611234,-1.0533506,291.15
298.15,0.9840572,298.15,296.19540359973905,1.2662749,297.4616785287857,293.42266752719877,-1.5788877,291.8437798261642,294.2366996049881,-1.7337645,292.50293507575986,291.15,0.37773466,291.5277346611023
298.15,-1.415307,296.73469295501707,297.4616785287857,1.298657,298.15,291.8437798261642,-0.75866127,291.15,292.50293507575986,-1.4245123,291.15,291.5277346611023,1.6838818,293.2116164207458
296.73469295501707,-1.3378731,295.39681985378263,298.15,-0.86111975,297.2888802528381,291.15,-1.3855464,291.15,291.15,-1.5380398,291.15,293.2116164207458,-1.9154079,291.29620852470396
295.39681985378263,-1.7784184,293.61840143203733,297.2888802528381,-1.3014342,295.98744609355924,291.15,-1.7864723,291.15,291.15,0.3645754,291.51457538604734,291.29620852470396,0.7228582,292.01906671524046
293.61840143203733,-0.42547822,293.19292321205137,295.98744609355924,-0.7280357,295.259410405159,291.15,0.01810503,291.1681050300598,291.51457538604734,1.5000198,293.0145951747894,292.01906671524046,1.4045265,293.42359318733213
293.19292321205137,-1.8260998,291.36682345867155,295.259410405159,-1.2740064,293.98540403842924,291.1681050300598,-1.0530205,291.15,293.0145951747894,-1.0024498,292.01214542388914,293.42359318733213,0.2849307,293.7085238933563
